title,actual_price,dis,after_dis_price,link,rating,no_of_rating
"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Laptop  (39.62 cm, Arctic Grey, 1.63 Kg, With MS Office)","58,890",45% off,"31,990",https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15iau7-thin-light-laptop/p/itm07f540e13a0e8?pid=COMGP26H8PHCAMZE&lid=LSTCOMGP26H8PHCAMZEGEC9S3&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&iid=en_BCZXDQIJhdMJco0F3d9jJ9o0h7mcDauOaLJqpz0fcJDSUc8flfZ4mgqspyImT1wLtUySjYJCX_RE1UfFDd0zkfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=4wu1znf5bk0000001736063974283&qH=312f91285e048e09,4.3,"1,558 Ratings & 86 Reviews"
"CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Plus Laptop  (15.6 Inch, Grey, 1.74 kg)","39,990",52% off,"18,990",https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-plus-laptop/p/itm9002f3d92e61f?pid=COMGYAM9KS83NEPS&lid=LSTCOMGYAM9KS83NEPSPOX0OT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&iid=en_BCZXDQIJhdMJco0F3d9jJ9o0h7mcDauOaLJqpz0fcJB8Xmys0O31RwGSJ7Lm2hWkverofW6hIxN3kd-CaErphw%3D%3D&ssid=4wu1znf5bk0000001736063974283&qH=312f91285e048e09,3.7,"1,112 Ratings & 129 Reviews"
"Infinix Y3 Max Series Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and Light Laptop  (16 Inch, Silver, 1.78 Kg)","69,990",57% off,"29,990",https://www.flipkart.com/infinix-y3-max-series-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itme79fb9afce502?pid=COMH34U3BAB3F2H4&lid=LSTCOMH34U3BAB3F2H4HWB3HX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&iid=049b8aaa-97f5-430e-89bf-a9edb020a9e9.COMH34U3BAB3F2H4.SEARCH&ssid=4wu1znf5bk0000001736063974283&qH=312f91285e048e09,4.2,64 Ratings & 13 Reviews
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Light Laptop  (39.62 cm, Cloud Grey, 1.65 kg, With MS Office)","58,390",36% off,"36,990",https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itm4a6035f502270?pid=COMGN2YDSFGGXYG3&lid=LSTCOMGN2YDSFGGXYG3MJBCRU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&iid=049b8aaa-97f5-430e-89bf-a9edb020a9e9.COMGN2YDSFGGXYG3.SEARCH&ssid=4wu1znf5bk0000001736063974283&qH=312f91285e048e09,4.2,"5,823 Ratings & 509 Reviews"
"Infinix Y3 Max Series Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and Light Laptop  (16 Inch, Blue, 1.78 Kg)","69,990",57% off,"29,990",https://www.flipkart.com/infinix-y3-max-series-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itm3941e51ee3da7?pid=COMH34U3JSYQJXZY&lid=LSTCOMH34U3JSYQJXZYG4FDV7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&iid=049b8aaa-97f5-430e-89bf-a9edb020a9e9.COMH34U3JSYQJXZY.SEARCH&ssid=4wu1znf5bk0000001736063974283&qH=312f91285e048e09,4.2,64 Ratings & 13 Reviews
"Lenovo ThinkPad E14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) TP E14 Gen 5 Thin and Light Laptop  (14 Inch, Black, 1.41 Kg, With MS Office)","91,966",18% off,"75,375",https://www.flipkart.com/lenovo-thinkpad-e14-amd-ryzen-5-hexa-core-7530u-8-gb-512-gb-ssd-windows-11-home-tp-gen-thin-light-laptop/p/itmbbd4542d7f75b?pid=COMGQRD7RWHUM9QH&lid=LSTCOMGQRD7RWHUM9QHQAU0RT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&iid=en_BCZXDQIJhdMJco0F3d9jJ9o0h7mcDauOaLJqpz0fcJAyKnOpeYVy1w4fowZUdT2U-RCnD8yFYYbbHd_1RaHt6_UFjCTyOHoHZs-Z5_PS_w0%3D&ssid=4wu1znf5bk0000001736063974283&qH=312f91285e048e09,4.1,34 Ratings & 4 Reviews
"DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop | Inspiron 3520 Thin and Light Laptop  (15.6 Inch, Platinum Silver, 1.65 Kg, With MS Office)","50,520",31% off,"34,690",https://www.flipkart.com/dell-inspiron-3520-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-new-15-laptop-thin-light/p/itm108ece6bfe39a?pid=COMGJ75HJGFDJ6JN&lid=LSTCOMGJ75HJGFDJ6JNY5ESSQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&iid=049b8aaa-97f5-430e-89bf-a9edb020a9e9.COMGJ75HJGFDJ6JN.SEARCH&ssid=4wu1znf5bk0000001736063974283&qH=312f91285e048e09,4.2,"4,121 Ratings & 295 Reviews"
"Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) A715-76G-548J Gaming Laptop  (15.6 Inch, Charcoal Black, 2.1 Kg)","84,999",37% off,"52,990",https://www.flipkart.com/acer-aspire-7-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-a715-76g-548j-gaming-laptop/p/itm20708ce5793f7?pid=COMGP8QVTK3EQDXE&lid=LSTCOMGP8QVTK3EQDXEKW8XW5&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&iid=049b8aaa-97f5-430e-89bf-a9edb020a9e9.COMGP8QVTK3EQDXE.SEARCH&ssid=4wu1znf5bk0000001736063974283&qH=312f91285e048e09,4.2,"2,339 Ratings & 190 Reviews"
"Lenovo V14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) V14 ITL G2 Thin and Light Laptop  (14 inch, Iron Grey, 1.6 kg)","66,470",46% off,"35,490",https://www.flipkart.com/lenovo-v14-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-itl-g2-thin-light-laptop/p/itm330ccb4eab074?pid=COMG6VRPCDUFX6X4&lid=LSTCOMG6VRPCDUFX6X4KK4QFL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&iid=049b8aaa-97f5-430e-89bf-a9edb020a9e9.COMG6VRPCDUFX6X4.SEARCH&ssid=4wu1znf5bk0000001736063974283&qH=312f91285e048e09,4.1,305 Ratings & 22 Reviews
"ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/70 W) FX706HF-NY040W Gaming Laptop  (17.3 Inch, Graphite Black, 2.60 kg)","85,990",40% off,"50,990",https://www.flipkart.com/asus-tuf-gaming-f17-ai-powered-intel-core-i5-11th-gen-11400h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-70-w-fx706hf-ny040w-laptop/p/itm5b135cad5c8a9?pid=COMHY74JXH3KZRWM&lid=LSTCOMHY74JXH3KZRWMLLMJRL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&iid=049b8aaa-97f5-430e-89bf-a9edb020a9e9.COMHY74JXH3KZRWM.SEARCH&ssid=4wu1znf5bk0000001736063974283&qH=312f91285e048e09,4.3,"7,021 Ratings & 566 Reviews"
